"";"";"";"";F;2012/06/29;""
"075M";"03";"Major chest procedures w mcc";"Major chest procedures w mcc";F;2010/03/02;" 75M"
"075N";"04";"Major chest procedures";"Major chest procedures";F;2010/03/02;" 75N"
"075O";"04";"Major chest procedures, short therapy";"Major chest procedures, short therapy";T;2003/05/23;" 75O"
"075X";"04";"Major chest procedures";"Major chest procedures";T;1996/12/31;" 75"
"076C";"04";"Other resp system o. r. procedures w cc";"Other resp system o. r. procedures w cc";F;2010/03/02;" 76C"
"076M";"04";"Other resp system o. r. procedures w mcc";"Other resp system o. r. procedures w mcc";F;2010/03/02;" 76M"
"076X";"04";"Other resp system o. r. procedures w cc";"Other resp system o. r. procedures w cc";T;1996/12/31;" 76"
"077O";"04";"Other resp system o. r. procedures, short therapy";"Other resp system o. r. procedures, short therapy";T;2003/05/23;" 77O"
"077X";"04";"Other resp system o. r. procedures w/o cc";"Other resp system o. r. procedures w/o cc";T;2009/04/17;" 77"
"078C";"04";"Pulmonary embolism  w cc";"Pulmonary embolism  w cc";F;2010/03/02;" 78C"
"078M";"04";"Pulmonary embolism  w mcc";"Pulmonary embolism  w mcc";F;2010/03/02;" 78M"
"078N";"04";"Pulmonary embolism";"Pulmonary embolism";F;2010/03/02;" 78N"
"078X";"04";"Pulmonary embolism";"Pulmonary embolism";T;1996/12/31;" 78"
"079X";"04";"Respiratory infections & inflammations, age > 17 w cc";"Respiratory infections & inflammations, age > 17 w cc";T;1996/12/31;" 79"
"080C";"04";"Respiratory infections & inflammations w cc";"Respiratory infections & inflammations w cc";F;2010/03/02;" 80C"
"080M";"04";"Respiratory infections & inflammations w mcc";"Respiratory infections & inflammations w mcc";F;2010/03/02;" 80M"
"080N";"04";"Respiratory infections & inflammations w/o cc";"Respiratory infections & inflammations w/o cc";F;2010/03/02;" 80N"
"080O";"04";"Respiratory infections & inflammations, short therpay";"Respiratory infections & inflammations, short therpay";F;2009/06/03;"080O"
"080X";"04";"Respiratory infections & inflammations, age > 17 w/o cc";"Respiratory infections & inflammations, age > 17 w/o cc";T;1996/12/31;" 80"
"081A";"04";"Respiratory infections & inflammations, age 0-17, w CC";"Respiratory infections & inflammations, age 0-17, w CC";F;1998/11/23;" 81A"
"081B";"04";"Respiratory infections & inflammations, age 0-17, w/o cc";"Respiratory infections & inflammations, age 0-17, w/o cc";F;1998/12/08;" 81B"
"081C";"04";"Respiratory infections & inflammations, w cc, age 0-17";"Respiratory infections & inflammations, w cc, age 0-17";F;2010/03/02;" 81C"
"081N";"04";"Respiratory infections & inflammations, age 0-17";"Respiratory infections & inflammations, age 0-17";F;2010/03/02;" 81N"
"081X";"04";"Respiratory infections & inflammations, age 0-17";"Respiratory infections & inflammations, age 0-17";T;1996/12/31;" 81"
"082C";"04";"Respiratory neoplasms w cc";"Respiratory neoplasms w cc";F;2010/03/02;" 82C"
"082FA";"04";"Respiratory neoplasms, radiotherapy";"Respiratory neoplasms, radiotherapy";F;2006/01/13;" 82A"
"082FB";"04";"Respiratory neoplasms, cytostatic therapy";"Respiratory neoplasms, cytostatic therapy";F;2006/01/13;" 82B"
"082FC";"04";"Respiratory neoplasms, demanding cytostatic therapy";"Respiratory neoplasms, demanding cytostatic therapy";F;2006/01/13;" 82C"
"082FD";"04";"Respiratory neoplasms, specially demanding cytostatic therapy";"Respiratory neoplasms, specially demanding cytostatic therap";F;2006/01/13;" 82D"
"082FE";"04";"Respiratory neoplasms";"Respiratory neoplasms";F;2006/01/13;" 82E"
"082M";"04";"Respiratory neoplasms w mcc";"Respiratory neoplasms w mcc";F;2010/03/02;" 82M"
"082N";"04";"Respiratory neoplasms";"Respiratory neoplasms";F;2010/03/02;" 82N"
"082O";"04";"Respiratory neoplasms, short therapy";"Respiratory neoplasms, short therapy";F;2009/06/03;"082O"
"082X";"04";"Respiratory neoplasms";"Respiratory neoplasms";T;1996/12/31;" 82"
"083C";"04";"Major chest trauma w cc";"Major chest trauma w cc";F;2010/03/02;" 83C"
"083M";"04";"Major chest trauma w mcc";"Major chest trauma w mcc";F;2010/03/02;" 83M"
"083X";"04";"Major chest trauma w cc";"Major chest trauma w cc";T;1996/12/31;" 83"
"084X";"04";"Major chest trauma w/o cc";"Major chest trauma w/o cc";T;1996/12/31;" 84"
"085C";"04";"Pleural effusion w cc";"Pleural effusion w cc";F;2010/03/02;" 85C"
"085M";"04";"Pleural effusion w mcc";"Pleural effusion w mcc";F;2010/03/02;" 85M"
"085X";"04";"Pleural effusion w cc";"Pleural effusion w cc";T;1996/12/31;" 85"
"086X";"04";"Pleural effusion w/o cc";"Pleural effusion w/o cc";T;1996/12/31;" 86"
"087C";"04";"Pulmonary edema & respiratory failure w cc";"Pulmonary edema & respiratory failure w cc";F;2010/03/02;" 87C"
"087M";"04";"Pulmonary edema & respiratory failure w mcc";"Pulmonary edema & respiratory failure w mcc";F;2010/03/02;"087M"
"087N";"04";"Pulmonary edema & respiratory failure";"Pulmonary edema & respiratory failure";F;2010/03/02;" 87N"
"087X";"04";"Pulmonary edema & respiratory failure";"Pulmonary edema & respiratory failure";T;1996/12/31;" 87"
"088C";"04";"Chronic obstructive pulmonary disease w cc";"Chronic obstructive pulmonary disease w cc";F;2010/03/02;" 88C"
"088M";"04";"Chronic obstructive pulmonary disease w mcc";"Chronic obstructive pulmonary disease w mcc";F;2010/03/02;" 88M"
"088N";"04";"Chronic obstructive pulmonary disease";"Chronic obstructive pulmonary disease";F;2010/03/02;" 88N"
"088O";"04";"Chronic obstructive pulmonary disease, short therapy";"Chronic obstructive pulmonary disease, short therapy";F;2009/06/03;"088O"
"088X";"04";"Chronic obstructive pulmonary disease";"Chronic obstructive pulmonary disease";T;2007/05/15;" 88"
"089X";"04";"Simple pneumonia & pleurisy, age > 17 w cc";"Simple pneumonia & pleurisy, age > 17 w cc";T;1996/12/31;" 89"
"090X";"04";"Simple pneumonia & pleurisy, age > 17 w/o cc";"Simple pneumonia & pleurisy, age > 17 w/o cc";T;1996/12/31;" 90"
"091A";"04";"Simple pneumonia & pleurisy, age 0-17, w cc";"Simple pneumonia & pleurisy, age 0-17, w cc";T;2000/04/26;" 91A"
"091B";"04";"Simple pneumonia & pleurisy, age 0-17, w/o cc";"Simple pneumonia & pleurisy, age 0-17, w/o cc";T;1998/11/23;" 91B"
"091C";"04";"Simple pneumonia & pleurisy w cc";"Simple pneumonia & pleurisy w cc";F;2010/03/02;" 91C"
"091M";"04";"Simple pneumonia & pleurisy w mcc";"Simple pneumonia & pleurisy w mcc";F;2010/03/02;" 91M"
"091N";"04";"Simple pneumonia & pleurisy w/o cc";"Simple pneumonia & pleurisy w/o cc";F;2010/03/02;" 91N"
"091X";"04";"Simple pneumonia & pleurisy, age 0-17";"Simple pneumonia & pleurisy, age 0-17";F;1996/12/31;" 91"
"092M";"04";"Interstitial lung disease w mcc";"Interstitial lung disease w mcc";F;2010/03/02;" 92M"
"092X";"04";"Interstitial lung disease w cc";"Interstitial lung disease w cc";T;1996/12/31;" 92"
"093X";"04";"Interstitial lung disease w/o cc";"Interstitial lung disease w/o cc";T;1996/12/31;" 93"
"094C";"04";"Pneumothorax w cc";"Pneumothorax w cc";F;2010/03/02;" 94C"
"094M";"04";"Pneumothorax w mcc";"Pneumothorax w mcc";F;2010/03/02;" 94M"
"094X";"04";"Pneumothorax w cc";"Pneumothorax w cc";T;1996/12/31;" 94"
"095X";"04";"Pneumothorax w/o cc";"Pneumothorax w/o cc";T;1996/12/31;" 95"
"096X";"04";"Bronchitis & asthma, age > 17 w cc";"Bronchitis & asthma, age > 17 w cc";T;1996/12/31;" 96"
"097O";"04";"Bronchitis & asthma, short therapy";"Bronchitis & asthma, short therapy";F;2009/06/03;"097O"
"097X";"04";"Bronchitis & asthma, age > 17 w/o cc";"Bronchitis & asthma, age > 17 w/o cc";T;1996/12/31;" 97"
"098A";"04";"Bronchitis & asthma, age 0-17, w cc";"Bronchitis & asthma, age 0-17, w cc";T;1998/11/23;" 98A"
"098B";"04";"Bronchitis & asthma, age 0-17, w/o cc";"Bronchitis & asthma, age 0-17, w/o cc";T;1998/11/23;" 98B"
"098C";"04";"Bronchitis & asthma, w cc";"Bronchitis & asthma, w cc";F;2010/03/02;" 98C"
"098M";"04";"Bronchitis & asthma, w mcc";"Bronchitis & asthma, w mcc";F;2010/03/02;" 98M"
"098N";"04";"Bronchitis & asthma, w/o cc";"Bronchitis & asthma, w/o cc";F;2010/03/02;" 98N"
"098X";"04";"Bronchitis & asthma, age 0-17";"Bronchitis & asthma, age 0-17";F;1996/12/31;" 98"
"099C";"04";"Respiratory signs & symtoms w cc";"Respiratory signs & symtoms w cc";F;2010/03/02;" 99C"
"099M";"04";"Respiratory signs & symtoms w mcc";"Respiratory signs & symtoms w mcc";F;2010/03/02;" 99M"
"099X";"04";"Respiratory signs & symtoms w cc";"Respiratory signs & symtoms w cc";T;1996/12/31;" 99"
"100N";"04";"Respiratory signs & symtoms w/o cc";"Respiratory signs & symtoms w/o cc";F;2010/03/02;"100N"
"100X";"04";"Respiratory signs & symtoms w/o cc";"Respiratory signs & symtoms w/o cc";T;1996/12/31;"100"
"101C";"04";"Other respiratory system diagnoses w cc";"Other respiratory system diagnoses w cc";F;2010/03/02;"101C"
"101M";"04";"Other respiratory system diagnoses w mcc";"Other respiratory system diagnoses w mcc";F;2010/03/02;"101M"
"101X";"04";"Other respiratory system diagnoses w cc";"Other respiratory system diagnoses w cc";T;1996/12/31;"101"
"102N";"04";"Other respiratory system diagnoses w/o cc";"Other respiratory system diagnoses w/o cc";F;2010/03/02;"102N"
"102X";"04";"Other respiratory system diagnoses w/o cc";"Other respiratory system diagnoses w/o cc";T;1996/12/31;"102"
"103O";"05";"Heart transplant, short therapy";"Heart transplant, short therapy";T;2003/05/23;"103O"
"103X";"05";"Heart transplant and ventricular assist device";"Heart transplant and ventricular assist device";T;2013/04/26;"103"
"104A";"05";"Single heart valve operations";"Single heart valve operations";T;2005/04/28;"104A"
"104B";"05";"Multiple heart valve operations or single valve operations w CC";"Multiple heart valve operations or single valve operations w";T;2005/04/28;"104B"
"104C";"05";"Multiple heart valve operations w/o cc or single valve operations w CC";"Multiple heart valve oper w/o cc or single w cc";T;2010/03/02;"104C"
"104D";"";"";"";F;/  /;"104D"
"104M";"05";"Multiple heart valve operations w cc or single valve operations w mcc";"Multiple heart valve oper w cc or single w mcc";F;2010/03/02;"104M"
"104N";"05";"Single heart valve operations w/o cc";"Single heart valve operations w/o cc";F;2010/03/02;"104N"
"104O";"05";"Cardiac valve procedures w cardiac cath, short therapy";"Cardiac valve procedures w cardiac cath, short therapy";T;2003/05/23;"104O"
"105A";"05";"Cardiac valve procedures w/o cardiac cath, age < 1 yrs";"Cardiac valve procedures w/o cardiac cath, age < 1 yrs";F;2003/10/09;"105A"
"105B";"05";"Cardiac valve procedures w/o cardiac cath, age 0-17 yrs";"Cardiac valve procedures w/o cardiac cath, age 0-17 yrs";F;2003/10/12;"105B"
"105C";"05";"Cardiac valve procedures w/o cardiac cath, age >17 yrs";"Cardiac valve procedures w/o cardiac cath, age >17 yrs";F;2003/10/09;"105C"
"105O";"05";"Cardiac valve procedures w/o cardiac cath, short therapy";"Cardiac valve procedures w/o cardiac cath, short therapy";F;2003/05/23;"105O"
"106O";"05";"Coronary bypass w cardiac cath, short therapy";"Coronary bypass w cardiac cath, short therapy";F;2003/05/23;"106O"
"106X";"05";"Coronary bypass w cardiac cath";"Coronary bypass w cardiac cath";F;2005/04/28;"106"
"107A";"05";"Other coronary bypass without cathetherisation";"Other coronary bypass without cathetherisation";T;2005/04/28;"107A"
"107B";"05";"Other coronary bypass with cathetherisation";"Other coronary bypass with cathetherisation";T;2005/04/28;"107B"
"107C";"05";"Coronary bypass with complex associated procedures or with CC";"Coronary bypass with complex associated procedures or with C";T;2005/04/28;"107C"
"107M";"05";"Coronary bypass w mcc";"Coronary bypass w mcc";F;2010/03/02;"107M"
"107N";"05";"Other coronary bypass without cathetherisation w/o mcc";"Other coronary bypass without cathetherisation w/o mcc";F;2010/03/02;"107N"
"107O";"05";"Coronary bypass w/o cardiac cath, short therapy";"Coronary bypass w/o cardiac cath, short therapy";T;2003/05/23;"107O"
"107X";"05";"Coronary bypass w/o cardiac cath";"Coronary bypass w/o cardiac cath";F;1996/12/31;"107"
"108A";"05";"Other cardiothoracic procedures, age < 1 yrs";"Other cardiothoracic procedures, age < 1 yrs";F;2003/10/12;"108A"
"108B";"05";"Other cardiothoracic procedures, age 1 yrs or more";"Other cardiothoracic procedures, age 1 yrs or more";F;2003/10/12;"108B"
"108C";"05";"Other cardiothoracic procedures w cc";"Other cardiothoracic procedures w cc";F;2010/03/02;"108C"
"108M";"05";"Other cardiothoracic procedures w mcc";"Other cardiothoracic procedures w mcc";F;2010/03/03;"108M"
"108N";"05";"Other cardiothoracic procedures w/o cc";"Other cardiothoracic procedures w/o cc";F;2010/03/02;"108N"
"108O";"05";"Other cardiothoracic procedures, short therapy";"Other cardiothoracic procedures, short therapy";T;2003/05/23;"108O"
"108X";"05";"Other cardiothoracic procedures";"Other cardiothoracic procedures";T;1996/12/31;"108"
"109C";"05";"Operation of thoracic aortic aneurysm w cc";"Operation of thoracic aortic aneurysm w cc";F;2010/03/03;"109C"
"109M";"05";"Operation of thoracic aortic aneurysm w mcc";"Operation of thoracic aortic aneurysm w mcc";F;2010/03/03;"109M"
"109N";"05";"Operation of thoracic aortic aneurysm";"Operation of thoracic aortic aneurysm";T;2005/04/29;"109N"
"110M";"05";"Major cardiovascular procedures w mcc";"Major cardiovascular procedures w mcc";F;2010/03/03;"110M"
"110O";"05";"Major cardiovascular procedures, short therapy";"Major cardiovascular procedures, short therapy";F;2008/06/10;"110O"
"110X";"05";"Major cardiovascular procedures w cc";"Major cardiovascular procedures w cc";T;1996/12/31;"110"
"111O";"05";"Major cardiovascular procedures, short therapy";"Major cardiovascular procedures, short therapy";T;2006/12/14;"110O"
"111X";"05";"Major cardiovascular procedures w/o cc";"Major cardiovascular procedures w/o cc";T;1996/12/31;"111"
"112A";"05";"Other percutaneous cardiovascular procedures";"Other percutaneous cardiovascular procedures";T;2014/04/09;"112A"
"112B";"05";"Percutaneuous ablations for cardiac arrhytmia";"Percutaneuous ablations for cardiac arrhytmia";T;2005/04/28;"112B"
"112C";"05";"PCI w/o myocardial infarction, w/o CC";"PCI w/o myocardial infarction, w/o CC";T;2005/04/28;"112C"
"112D";"05";"PCI w/o myocardial infarction, w CC";"PCI w/o myocardial infarction, w CC";T;2008/06/10;"112D"
"112E";"05";"PCI w myocardial infarction, w/o CC";"PCI w myocardial infarction, w/o CC";T;2005/04/28;"112E"
"112F";"05";"PCI w myocardial infarction, w CC";"PCI w myocardial infarction, w CC";T;2005/04/28;"112F"
"112O";"05";"Percutaneous cardiovascular procedures, short therapy";"Percutaneous cardiovascular procedures, short therapy";T;2005/04/28;"112O"
"112X";"05";"Percutaneous cardiovascular procedures";"Percutaneous cardiovascular procedures";F;2005/04/28;"112"
"113C";"05";"Amputation  for circulatory system disorders except upper limb and toe w cc";"Amputation  for circulatory system disorders except upper li";F;2010/03/03;"113C"
"113FA";"05";"Amputation  for circulatory system disorders except upper limb and toe";"Amput for circ syst disord except upp limb and toe";F;2003/09/11;"113A"
"113FB";"05";"Extensive corrective procedures after amputation for circulatory system disorders of lower limb except toe";"Ext corr proc after amput for circ dis of lower limb";F;2003/09/10;"113B"
"113M";"05";"Amputation  for circulatory system disorders except upper limb and toe w mcc";"Amp for circ disord except upper limb and toe w mcc";F;2010/03/03;"113M"
"113N";"05";"Amputation  for circulatory system disorders except upper limb and toe";"Amput for circ syst disord except upp limb and toe";F;2010/03/03;"113N"
"113O";"05";"Amputation  for circulatory system disorders except upper limb and toe, short therapy";"Amput for circ syst disord except upp limb and toe, sh th";T;2003/06/25;"113O"
"113X";"05";"Amputation  for circulatory system disorders except upper limb and toe";"Amput for circ syst disord except upp limb and toe";T;2003/06/25;"113"
"114C";"05";"Upper limb & toe amputation for circulatory system disorder w cc";"Upper limb & toe amp for circ disord w cc";F;2010/03/03;"114C"
"114N";"05";"Upper limb & toe amputation for circulatory system disorder";"Upper limb & toe amputation for circulatory system disorder";F;2010/03/03;"114N"
"114O";"05";"Upper limb & toe amputation for circulatory system disorder, short therapy";"Upper limb & toe amputation for circulatory system disorder,";T;2003/05/23;"114O"
"114X";"05";"Upper limb & toe amputation for circulatory system disorder";"Upper limb & toe amputation for circulatory system disorder";T;1996/12/31;"114"
"115A";"05";"Removal of permanent cardiac pacemaker or defibrillator";"Removal of permanent cardiac pacemaker or defibrillator";T;2008/04/13;"115A"
"115AM";"05";"Removal of permanent cardiac pacemaker or defibrillator, w mcc";"Rem of perm card pacemaker or defibrillator, w mcc";F;2010/05/11;"115AM"
"115AN";"05";"Removal of permanent cardiac pacemaker or defibrillator, w/o cc";"Rem of perm card pacemaker or defibrillator, w/o cc";F;2010/05/11;"115AN"
"115B";"05";"Revison of cardiac pacemaker or implantation or replacement of cardiac defibrillator";"Revison of cardiac pacemaker or implantation or replacement";T;2008/04/13;"115B"
"115BC";"05";"Revison of cardiac pacemaker or implantation or replacement of cardiac defibrillator, w cc";"Reviof card pacem or impl or repl of card defibf, w cc";F;2010/05/11;"115BC"
"115BM";"05";"Revison of cardiac pacemaker or implantation or replacement of cardiac defibrillator, w mcc";"Reviof card pacem or impl or repl of card defibf, w mcc";F;2010/05/11;"115BM"
"115BN";"05";"Revison of cardiac pacemaker or implantation or replacement of cardiac defibrillator, w/o cc";"Reviof card pacem or impl or repl of card defibf, w/o cc";F;2010/05/11;"115BN"
